,Cause,Company Name,Cummulative Hrs,Date and Time,Depth,LT ID,LT Summary,LT Type,Object,Parent LT ID,Report Date,Rig Name,Time in Hrs,Well No
1556, FOT, WBP, 10,14 Aug 1900 - 0500, 5660, 900771," ATTEPMT TO SET WFD 9-5/8"" TRIAL TEST BRIDGE PLUG (WSBP) WITHOUT SUCCESS.", TF, BP, ,08/14/2022,SP-229, 10,JLDI-862
1557,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/14/2022,SP-261,Hrs,MHWZ-903
1558, HERR, ITS, 4.5,14 Aug 0030 - 0500, 1589, 900823," ITS CREW MEMBER FUNCTIONED SPIDER SLIPS WITH CASING SET IN SLIPS FOR UNKNOWN REASON, - LEAVING THE SWITCH IN THE OPEN POSITION. WHEN CASING JERKED SLIGHTLY WHILE BACKING OUT A 
 JOINT OF CASING, THE SLIPS OPENED DROPPING 3 JINTS OF 18 5/8"" CASING DOWN THE HOLE", TF, TTRQ, ,08/14/2022,SP-261, 4.5,MHWZ-903
1559,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/14/2022,SP-262,Hrs,JNAB-152802
1560, FOT, WDS, 14.25,13 Aug 1715 - 0730, 3648, 900803," WHILE CLEAN OUT TOP WIPER PLUG, NOTICED INCREASE IN PRESSURE OFF BOTTOM, POH FOUND MOTOR POWER SECTION HOUSING BACKED OFF.", BHA, MMOT, ,08/14/2022,SP-262, 2.5,JNAB-152802
1561,6345, 6345,TI,E,  4186,STDP,"CONTD RIH 6-1/8"" NOV CORE ASSY CONTROLLED SPEED FROM 4020' TO CORE POINT @ 6345'.-WASH AND REAM DOWN LAST TWO STDS.",6345, 4050,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1562,6345, ,CIRC,E,  4186,MPMP,CIRCULATE BTMS UP WITH 200 GPM & PRESSURE 270 PSI.,6345, ,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1563,6345, ,CIRC,E,  4186,MPMP,"DROP 1"" NOV DIVERTING BALL, PUMP DOWN WITH 90 GPM & WAIT TILL SEATED IN ORDER TO DIVERT FLUID AWAY FROM THE INNER BARREL TO START CORING ACROSS PADS FORMATION.-CONFIRM SPACE OUT FOR CUTTING THE CORE.@6345.5' -RECORD SPR'S, P/U AND S/O WT'S, TORQUE READINGS.",6345, ,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1564,6378, ,CORE,E,  4186,CORC,"CUT 6-1/8"" X 2 5/8"" CORE RUN #1 FROM 6345' TO 6378' W/80 PCF SALT POLYMER MUD W/ 100 % RETURNS.-CORING PARAMETERS: WOB: 3-8 KLBS, (RPM: 65 - TQ 2-3 KLFTLB) & (GPM: 170 - PRESS 650 PSI)-STOP ROTATION AND BREAK OUT CORE WITH 15K OVERPULL.",6345, ,NOC,08/14/2022,SP-53L,CORE,HRDH-528
1565,6378, ,CIRC,E,  4186,MPMP,CIRCULATE BTM UP WITH 120 GPM @ 440 PSI WITH FULL RETURNS. ,6378, ,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1566,6378, ,SDR1,E,  4186,NA,FLOW CHECK-WELL STATIC OK.,6378, ,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1567,6378, 5880,TO,E,  4186,STDP,"HPJSM, POOH 6 1/8"" NOV CORING ASSY. TO/5880' CONTROLLED SPEED 3MIN/STD SLIPS TO SLIPS.",6378, 6375,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1568,6378, ,SDR1,E,  4186,NA,FLOW CHECK AFTER PULL 5 STDS WELL STATIC OK.,6378, ,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1569,6378, 3536,TO,E,  4186,STDP,"POOH 6 1/8"" NOV CORING ASSY. TO 9-5/8"" CSG SHOE 3536' CONTROLLED SPEED 3MIN/STD SLIPS TO SLIPS.",6378, 5880,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1570,6378, ,SDR1,E,  4186,NA,"FLOW CHECK AT 9-5/8"" CSG SHOE - WELL STATIC OK.",6378, ,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1571,6378, ,HT,E,  4186,CORC,"CON'T POOH 6-1/8"" NOV CORING ASSY. RUN #1 TO 1460 ' CONTROLLED SPEED 3MIN/STD SLIPS TO SLIPS.",6378, ,NOC,08/14/2022,SP-53L,CORE,HRDH-528
1572,6378, ,SDR1,E,  4186,NA,FLOW CHECK AT TOP BHA - WELL STATIC OK.-CHECKING FOR H2S-ZERO H2S READING.,6378, ,RIG,08/14/2022,SP-53L,CORE,HRDH-528
1573,6378, ,HT,E,  4186,CORC,"CON'T POOH 6-1/8"" NOV CORING ASSY. RUN #1 TO 250' CONTROLLED SPEED 3MIN/STD SLIPS TO SLIPS.-CHECKING FOR H2S  EVERY CONNECTION & ZERO H2S READING.",6378, ,NOC,08/14/2022,SP-53L,CORE,HRDH-528
1574, 35, OOS,Category,DOOS ID, CORE,Out of Scope Summary,  ALL CORING OPERATION AND THE REAMING TRIP IS OOS., 24, 4186,13 Aug 0230,08/14/2022,SP-53L,Type,HRDH-528
1575,,,,,,,,,,,,,,
1576,,,,,,,,,,,,,,
1577,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/14/2022,SP-58,Hrs,HRDH-795
1578, FOT, SPS, 1,14 Aug 1845 - 1945, 16672, 900768," MWD HAD BAD SIGNAL DETECTION , TROUBLESHOOTING SAME. OK.", TF, COMP, ,08/14/2022,SP-58, 1,HRDH-795
1579,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/14/2022,SSA-102,Hrs,QTIF-693
1580, FOT, WWD, 45.75,13 Aug 0545 - 0500, 9715, 900815," WFD WHIPSTOCK DID NOT SET, BOLT WAS SHEARED, LOST WHIPSTOCK IN HOLE.", TF, WPSTK, ,08/14/2022,SSA-102, 23,QTIF-693
1581,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/14/2022,SSA-202,Hrs,QTIF-191
1582, CEDE, NCS, 2.75,14 Aug 0215 - 0500, 17794, 900872," PERFORM CEMENT PLUG PRSSURE TEST @500 PSI -NEGATIF , DUE SOFT CEMENT .", JF, NA, ,08/14/2022,SSA-202, 2.75,QTIF-191
1583,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/14/2022,SSA-5969,Hrs,UTMN-3148
1584, STBH, ARM, 178.25,06 Aug 1315 - 0500, 3220, 900580," 16"" ROTARY BHA STUCK @ 3,220' ( TOP OF SHU'AIBA FM ) AND WORKING ON STUCK", STUK, BHA, ,08/14/2022,SSA-5969, 24,UTMN-3148
1585,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/14/2022,SSA-5972,Hrs,SHDN-19
1586, FOT, BHI, 22.5,13 Aug 0000 - 0130, 13888, 900817, MWD LOST SIGNAL, BHA, MWD, ,08/14/2022,SSA-5972, 17.5,SHDN-19
1587,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/14/2022,T914,Hrs,UTMN-415
1588, IPDF, GDF, 32.5,13 Aug 2030 - 0500, 6120, 900729," GYRO UNABLE LATCH UBHO,POH FOUND TOOL COVERED W/ MUD MARBLE SETTLING.", MUD, NA, ,08/14/2022,T914, 24,UTMN-415
1589,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,910TE,Hrs,DMMM-102
1590, FOT, WWL, 13,15 Aug 1530 - 0500, 18795, 900842, AFTER L/D WFD LOGGING TOOLS FOUND CALIPER LOG DATA NOT RECORDED DUE TO COMMUNICATION FAULT IN WFD CBG TOOL. , TF, WLT, ,08/15/2022,910TE, 13,DMMM-102
1591, FPMP, RIG, 1,15 Aug 2145 - 2245, 11165, 900879, PRESSURE DROP DUE TO WASHOUT ON VALVE OF MP#2 , RR, MPMP, ,08/15/2022,ADC-14, 1,HRDH-1312
1592,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADC-14,Hrs,HRDH-1312
1593, FOT, SDM, .5,15 Aug 0945 - 1015, 10965, 900855, SLB DRAWWORK SENSOR GIVE FALSE READING, TF, COMP, ,08/15/2022,ADC-14, .5,HRDH-1312
1594, FPMP, RIG, 1,15 Aug 2145 - 2245, 11165, 900879, PRESSURE DROP DUE TO WASHOUT ON VALVE OF MP#2 , RR, MPMP, ,08/15/2022,ADC-14, 1,HRDH-1312
1595,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADC-43L,Hrs,UTMN-3118
1596, FRFM, TK3, 90,11 Aug 2130 - 0500, 12650, 900794, WHILE DRILLING PARTIAL LOSSES IN KHUFF B CARBONATE. PUMPING LCM & CEMENT PLUGS TO CURE THE LOSSES., LCIR, NA, ,08/15/2022,ADC-43L, 23.5,UTMN-3118
1597,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADC-52,Hrs,SDGM-1185
1598, HINW, BAW, 412.5,29 Jul 1300 - 0500, 12600, 900261, LOGGING TOOLS GOT STUCK MECHANICALLY DUE TO WASHOUTS WHILE PERFORMING THE REPEAT PASS, STUK, WLT, ,08/15/2022,ADC-52, 24,SDGM-1185
1599,12705, ,HT,N,  4185,BHA,"HPJSM, P/U & M/U 3-1/4"" CLEAN OUT BHA.- M/U 3-1/4"" CONE MILL + 3-3/8"" BIT SUB WITH FLOAT.- MONITOR WELL ON TRIP TANK.",12705, ,RIG,08/15/2022,ADC-53L,CT,HRDH-530
1600,12705, 7828,LDP,N,  4185,STRG,"RIH W/ 3-1/4"" CLEAN OUT ASSY ON 2-3/8"" DP TO 6,790 FT...ON GOING ART.- P/U 216/249 JOINTS OF 2-3/8"" DP FROM RACK WHILE RIH.- BREAK CIRC EVERY 20 JTS .",12705, 0,RIG,08/15/2022,ADC-53L,CT,HRDH-530
1601, 72.5, OOS,Category,DOOS ID, OTHR,Out of Scope Summary," C/O TRIP FOR 4-1/2"" OBL & LWR COMPL.", 24, 4185,12 Aug 0430,08/15/2022,ADC-53L,Type,HRDH-530
1602,,,,,,,,,,,,,,
1603,,,,,,,,,,,,,,
1604,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADC-54L,Hrs,HRDH-584
1605, CFFM, TK2, 35,14 Aug 1800 - 0500, 2325, 900835," WHILE RIH 9-5/8"" CSG, HAD OBSTRUCTION @ 2325', WORKED ON OBSTRUCTION WITHOUT SUCCESS, DECIDED TO POOH & RUN REAMING TRIP.", BHS, NA, ,08/15/2022,ADC-54L, 24,HRDH-584
1606,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADC-55L,Hrs,UTMN-3171
1607, STBH, TK3, 382,30 Jul 0830 - 0500, 12245, 900335, PU STRING AFTER DROP PBL BALLS FOUND STRING STUCK., STUK, BHA, ,08/15/2022,ADC-55L, 24,UTMN-3171
1608,7019, 6356,LOG,E,  3965,WLT,"SLB WL PERFORM VIT W/TLC MDT RUN#4 AS PER ARAMCO RMD. PERFORMING STICK TEST  FOR VIT POINT # 3 .........AT RPT.- SCAN AROUND AT 6342 FT - 6356 FT FOR 3RD VIT.- PERFORMED STICK TEST 3, 8, 15, 30 MIN PRIOR TO EACH VIT POINT.- MAX STATIONARY TIME: 4 HRS.- VIT POINT # 1 AT 6702 FT - 6715 FT - NO SEAL - VIT POINT ABORTED AS PER RMD.- VIT POINT # 2 AT 6514 FT - 6528 FT - (TWO SESSIONS) - OK.- SAMPLE POINT # 1 AT 6393 FT - ( 1 SESSIONS).- VIT POINTS TAKEN 2 (ONE ABORTED) OUT OF 3 VIT POINTS.- SAMPLE POINT TAKEN 1 OUT OF 1 SAMPLE POINT.- TOTAL PUMP OUT 174 L AT RPT, OVERBALANCE AFTER PUMP OUT 667 PSI.- MONITOR THE WELL WITH TRIP TANK",7019, 6712,SWL,08/15/2022,ADC-57L,LOG,KRSN-175
1609, 317.75, OOS,Category,DOOS ID, FPFS,Out of Scope Summary," MDT LOGGING , FLUID SAMPLING AND RELATED OPERATIONS, C/O AND DISPACE MUD WITH OBM", 24, 3965,02 Aug 0115,08/15/2022,ADC-57L,Type,KRSN-175
1610,,,,,,,,,,,,,,
1611,,,,,,,,,,,,,,
1612,14929, ,OTH,C,  4125,NA,"- P/T ALL RISER CONNECTIONS, UPPER STRIPPER AGAINST GATE VALVE TO 300 / 2,500 PSI FOR 15 MINS, HOLD- OK.- P/T DOUBLE FLAPPER CHECK VALVE, RISER STACK AGAINST GATE VALVE TO 2,500 PSI FOR 15 MINS, HOLD- OK.- P/T CT PIPE RAM, LOWER STRIPPER AGAINST GATE VALVE TO 300 / 2,500 PSI FOR 15 MINS, HOLD- OK.- CONTINUOUSLY PUMP 77 PCF BRINE INTO ANNULUS AT 2 BPM THROUGH THS SOV'S.",14929, ,SCT,08/15/2022,ADC-58L,STIM,ABHD-169
1613,14929, ,OTH,C,  4125,NA,DISPLACED COIL TUBE W/77 PCF LUBRICATED CACL2 BRINE.- CONTINUOUSLY PUMP 77 PCF BRINE INTO ANNULUS AT 2 BPM THROUGH THS SOV'S.,14929, ,RIG,08/15/2022,ADC-58L,STIM,ABHD-169
1614,14929, ,OTH,C,  4125,NA,"RIH WITH 2 3/8"" COIL TBG FROM SURFACE TO 7"" LINER SHOE 11,329 FT WHILE CONTINUOUSLY PUMPING LUBRICATED BRINE @ 0.5 BPM THROUGH C/T.- PERFORMED PULL TESTS EVERY 1,000 FT INSIDE CSG.- MEANWHILE MIX MUTUAL SOLVENT PREFLUSH.- CONTINUOUSLY PUMP 77 PCF BRINE INTO ANNULUS AT 2 BPM THROUGH THS SOV'S.",14929, ,RIG,08/15/2022,ADC-58L,STIM,ABHD-169
1615,14929, ,OTH,C,  4125,NA,"RIH WITH 2 3/8"" COIL TBG FROM 7"" TOW AT 11,329 FT TO 13,850 FT (70% OF OPEN HOLE) WHILE CONTINUOUSLY PUMPING LUBRICATED BRINE @ 1 BPM THROUGH C/T.- PERFORMED PULL TESTS EVERY 500 FT INSIDE OPEN HOLE.- CONTINUOUSLY PUMP 77 PCF BRINE INTO ANNULUS AT 2 BPM THROUGH THS SOV'S.",14929, ,SCT,08/15/2022,ADC-58L,STIM,ABHD-169
1616,14929, ,STIM,C,  4125,CTU,"RIH WITH 2 3/8"" COIL TBG FROM 13,850 FT TO TD @ 14,929 FT WHILE PUMPING 77 PCF PRE-FLUSH- KEPT THE CHOKE OPEN & CONTINUOUSLY PUMPED 77 PCF BRINE INTO ANNULUS AT 2 BPM THROUGH THS SOV'S.- MEANWHILE MIXING AND 15% EMULSIFIED ACID & 15% ACID. ",14929, ,SCT,08/15/2022,ADC-58L,STIM,ABHD-169
1617,14929, ,STIM,C,  4125,CTU,"POOH WITH SLB 2-3/8"" COIL TBG F/14,929 FT TO 11,428 FT (100 FT BELOW 7"" LINER SHOE) WHILE PUMPING 14 BBLS OF 15% EMULSIFIED ACID FOLLOWING BY 48 BBLS OF15% HCL ACID PER EACH STAGE (TOTAL 18 STAGES) WITH CHOKE CLOSED.- SLB CT FOLLOWED THE MATRIX ACID STIMULATION TREATMENT PUMPING SCHEDULE AS PROGRAM.- TOTAL PUMPED VOLUME 245 BBLS OF 15% EMULSIFIED HCL & 840 BBLS OF 15% HCL.- PUMPING RATE: 2-3 BPM, CIRC. PRESS: 2800- 3100 PSI, WHP: 0 PSI.",14929, ,SCT,08/15/2022,ADC-58L,STIM,ABHD-169
1618,14929, ,STIM,C,  4125,CTU,"POOH WITH SLB 2-3/8"" COIL TBG F/13,428 FT TO 11,308 FT (20 FT ABOVE 7"" LINER SHOE) AND PUMPED 686 BBLS OF POST-FLUSH...........IN PROGRESS- FR 3 BPM, CIRC. PRESS 3100 PSI & WHP : ZERO",14929, ,SCT,08/15/2022,ADC-58L,STIM,ABHD-169
1619, 107, OOS,Category,DOOS ID, STIM,Out of Scope Summary, PERFORM ACID STIMULATION JOB FOR L-1., 24, 4125,09 Aug 0030,08/15/2022,ADC-58L,Type,ABHD-169
1620,,,,,,,,,,,,,,
1621,,,,,,,,,,,,,,
1622,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADC-60,Hrs,ABSF-216
1623, HERR, BAL, 48,14 Aug 0500 - 0500, 11253, 900849," WHILE L/D ESP ASSY, SAFETY CLAMP SLIPPED FROM 2-7/8"" BY-PASS TBG CAUSING DOWNHOLE STRING TO DROP IN HOLE. ", JF, ESP, ,08/15/2022,ADC-60, 24,ABSF-216
1624,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADES-157,Hrs,HRDH-642
1625, FOT, ITS, 13.5,28 Jul 2230 - 0600, 9100, 900239," DIES CARRIER (DIES FRAME) ON ITS POWER TONG BROKEN. WAIT FOR ANOTHER SET FROM ITS YARD.
- CONT POOH USING RIG TONG ", TF, CTRQ, ,08/15/2022,ADES-157, 1,HRDH-642
1626,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADES-158,Hrs,ABQQ-590
1627, XTRI, RIG, 3,15 Aug 1400 - 1700, 2540, 900843," EXCESSIVE TIME WHILE PRESSURE TESTING 21-1/4"" BOPE DUE TO LEAKS BETWEEN FLANGES.", JF, BOP, ,08/15/2022,ADES-158, 3,ABQQ-590
1628,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADES-173,Hrs,UTMN-1952
1629, PCPF, ARM, 23.5,15 Aug 0500 - 0500, 10223, 900856," SLICKLINE TAGGED OBSTRUCTION @ 11,223'", TH, NA, ,08/15/2022,ADES-173, 23.5,UTMN-1952
1630,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADES-174,Hrs,GHZL-72
1631, XTTE, RAC, 52.5,13 Aug 0030 - 0500, 11022, 900874, FAILURE OF RAC ITCO SPEAR AND CUTTER BHA TO RETRIEVE PBR., TF, FISHT, ,08/15/2022,ADES-174, 24,GHZL-72
1632,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADES-798,Hrs,HRDH-2302
1633, FOT, SWL, 16,15 Aug 0830 - 0100, 10733, 900837, SLB MDT TOOL PUMP FAILURE., TF, WLT, ,08/15/2022,ADES-798, 16,HRDH-2302
1634,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADM-262,Hrs,MRJN-122
1635, FOT, EX1, 15,15 Aug 1400 - 0500, 0, 900838, SLICK LINE UNIT UNABLE TO START DUE TO MECHANICAL ISSUE, TF, SLICK, ,08/15/2022,ADM-262, 15,MRJN-122
1636,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ADM-510,Hrs,ABSF-225
1637, FOT, RIG, 11,15 Aug 1000 - 2215, 8080, 900857," HAD FAILURE IN TDS HYDRAULIC CIRCUIT, TROUBLE SHOOT & FOUND FAILURE IN TDS ELECTRIC/HYDRAULIC COMMUNICATION PANEL ", RR, TDS, ,08/15/2022,ADM-510, 11,ABSF-225
1638,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ARO-3002,Hrs,MRJN-813
1639, FOT, HML, 27.25,14 Aug 2145 - 0100, 8500, 900769, HALLIBURTON UNABLE TO RETRIVE TPI SLEEVE. , TF, WPSML, ,08/15/2022,ARO-3002, 20,MRJN-813
1640,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,ARO-3004,Hrs,MRJN-2060
1641, FOT, INW, 32.5,14 Aug 2000 - 0500, 225, 900770, SETTING ROD WAS OBSERVED LEFT IN HOLE AFTER RETRIEVING TUBING ME PLUG SETTING TOOL ON SLICKLINE, TF, SLICK, ,08/15/2022,ARO-3004, 24,MRJN-2060
1642,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,CG-1,Hrs,MRJN-740
1643, FOT, BCM, 1,15 Aug 0800 - 0900, 274, 900840, BAKER CEMENT HEAD FAILURE. IT WAS DELIVERED WITHOUT SEALS., TF, PUMP, ,08/15/2022,CG-1, 1,MRJN-740
1644,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,DPS-44,Hrs,UTMN-2342
1645, XTTE, ITS, 45,14 Aug 0800 - 0500, 3220, 900848, RAN RTTS AND FOUND LEAK IN CASING DUE TO IMPROPER MAKE UP TORQUE, TF, CTRQ, ,08/15/2022,DPS-44, 24,UTMN-2342
1646,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,DPS-74,Hrs,NJYN-33
1647, FOT, HWP, 31.5,14 Aug 1200 - 0500, 17096, 900832, PUMPING HEAD WOULD NOT LATCH TO WET CONNECT. POOH WIRELINE & DISCOVER PUMPING HEAD ALIGNMENT PIN MISSING., TF, WLU, 900723,08/15/2022,DPS-74, 16.5,NJYN-33
1648, CPNF, HCM, 42.25,13 Aug 1245 - 0700, 6450, 900731," RIH WITH C/O ASSY, NO BALANCED CEMENT KICK OFF PLUG FOUND AT EXPECTED DEPTH. SOFT CEMENT OBSERVED TILL TAG TOC AT 6931'. POH TO RE-RUN KOP.", CMT, NA, 900303,08/15/2022,MP-1, 2,MRJN-78
1649,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,MP-1,Hrs,MRJN-78
1650, FOT, NRT, 341.5,31 Jul 0245 - 0500, 9345, 900303, NOV BULLNOSE & 4 INTERNAL HOUSING PARTS LOST IN HOLE DURING REAMING TRIP., BHA, UNDR, ,08/15/2022,MP-1, 22,MRJN-78
1651, CPNF, HCM, 42.25,13 Aug 1245 - 0700, 6450, 900731," RIH WITH C/O ASSY, NO BALANCED CEMENT KICK OFF PLUG FOUND AT EXPECTED DEPTH. SOFT CEMENT OBSERVED TILL TAG TOC AT 6931'. POH TO RE-RUN KOP.", CMT, NA, 900303,08/15/2022,MP-1, 2,MRJN-78
1652, HERR, SPS, 1,15 Aug 1700 - 1800, 6345, 900851, SPERRY MUD PUMP SENSOR NOT WORKING, DD, RSS, ,08/15/2022,MP-4, 1,LWHH-20
1653,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,MP-4,Hrs,LWHH-20
1654, FOT, RIG, 1,15 Aug 1600 - 1700, 6435, 900850, MUD PUMP #3 PISTON & LINER GASKET CHANGE & MUD PUMP 1 BLOWER ISSUE., RR, MPMP, ,08/15/2022,MP-4, 1,LWHH-20
1655, HERR, SPS, 1,15 Aug 1700 - 1800, 6345, 900851, SPERRY MUD PUMP SENSOR NOT WORKING, DD, RSS, ,08/15/2022,MP-4, 1,LWHH-20
1656,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,NBR-263S,Hrs,QTIF-736
1657, CPNF, NCS, 95.5,11 Aug 0330 - 0500, 5145, 900810," LOST TIME ON NPS CEMENTING DUE TO SOFT CMT WHILE DRILL OUT CMT PLUG & FAILURE ON ZONAL ISOLATION AFTER CHECK CMT INTEGRITY, PLAN TO D/O CMT PLUG & SPOT ANOTHER CMT PLUG.", CMT, NA, ,08/15/2022,NBR-263S, 23.5,QTIF-736
1658,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,NBR-654S,Hrs,HRDH-1150
1659, FOT, PKP, 276.25,02 Aug 1915 - 0500, 12809, 900388," FAIL TO SET THE LINER HANGER, CMT PLUG WAS NOT BUMPED AND GOT BACKFLOW, FAIL TO SET LINER TOP PACKER, POOH R&R TOOL DAMAGED.

INVESTIGATION AT WORKSHOP ATTENDED BY DTD CONCLUDED IMPROPER MAKE UP OF LH BALL SEATS. 
BACK FLOW IS SUSPECTED FROM LEAK IN THE SETTING TOOL.", TF, HGRL, ,08/15/2022,NBR-654S, 24,HRDH-1150
1660,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,NBR-783S,Hrs,NJYN-93
1661, FOT, RIG, 1.75,15 Aug 0115 - 0300, 9656, 900880, LEAK ON WATER COOLING SYSTEM OF DRAWWORKS, RR, DWKS, ,08/15/2022,NBR-783S, 1.75,NJYN-93
1662,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,NBR-987S,Hrs,JLMN-35
1663, OTH, RIG, 165,09 Aug 0800 - 0500, 264, 900629, DAMAGED TDS DUE TO PACKOFF WHILE DRILLING CEMENT, UPRA, NA, ,08/15/2022,NBR-987S, 24,JLMN-35
1664, FPMP, RIG, 2,15 Aug 1400 - 1600, 13610, 900841," DUE TO STAND PIPE PRESSURE FLUCTUATIONS, TROUBLESHOOT MUD PUMPS, REPAIR LEAKS AT MUD PUMPS SUCTION LINE & PRE-CHARGE PUMP #2.", RR, MPMP, ,08/15/2022,PA-622S, 2,UTMN-3600
1665,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,PA-622S,Hrs,UTMN-3600
1666, LHFL, RIG, 1.5,15 Aug 0900 - 1030, 13570, 900839, WASHED OUT TDS SAVER SUB, RR, HSYS, ,08/15/2022,PA-622S, 1.5,UTMN-3600
1667, FPMP, RIG, 2,15 Aug 1400 - 1600, 13610, 900841," DUE TO STAND PIPE PRESSURE FLUCTUATIONS, TROUBLESHOOT MUD PUMPS, REPAIR LEAKS AT MUD PUMPS SUCTION LINE & PRE-CHARGE PUMP #2.", RR, MPMP, ,08/15/2022,PA-622S, 2,UTMN-3600
1668,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,PN-9,Hrs,MRJN-673
1669, CFST, HCM, 32.25,14 Aug 2045 - 0500, 8745, 900824," WHILE PUMPING DOWN WFD DV OPENING PLUG FOR 1ST STAGE CEMENT JOB, STRING PRESSURED UP 34 BBLS PRIOR TO THEORETICAL DISPLACMENT. ATTEMPT TO BUMP WFD DV OPENING PLUG AND OPEN WFD DV PORTS WITH MAX 3500 PSI, NO SUCCESS. INSPECT SURACE CEMENT SAMPLES - SAMPLES SET & HARD.", CMT, NA, ,08/15/2022,PN-9, 24,MRJN-673
1670,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/15/2022,SINO-10,Hrs,JLDI-38
1671, FOT, OZT, 2,15 Aug 0100 - 0300, 11030, 900845, LOSS DATA DUE TO ELECTORNIC MALFUNCTION IN LOAD CELL ( ON INJECTOR) ., TF, CTAC, ,08/15/2022,SINO-10, 2,JLDI-38
